
香港,#genre#
好萊塢電影,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2132
龍祥時代,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2141
Dreamwork夢工廠動畫,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3159
TVB娛樂新聞臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=802
TVB星河,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=863
TVB經典臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=878
TVB經典臺2,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=778
TVB華語劇臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3127
TVB粵語臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3128
TVB亞洲劇臺直播,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3152
TVB黃金翡翠臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3129
TVB黃金華劇臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3130
Viutv,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=811
J2,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=819
無線財經體育,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=817
18臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3131
NOW-668,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3123
明珠臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=820
Now 財經臺直播,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3101
Now新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3102
Now直播臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3103
Now報價臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3104
NOW紫金國際臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3105
NOW華劇臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3106
NOW劇集臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3107
面包臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2186
耀才財經,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=818
RHK31,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=859
RHK32,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=858
RHK33,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=763
RHK34,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=764
RHK35,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=765
澳門蓮花,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=793
澳門衛視,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=929
澳門資訊,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=882
澳視澳門,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=883


台湾,#genre#
中天新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=806
中天新聞循環,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=854
中天亞洲臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=836
中天娛樂,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2174
中天綜合,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2175
CN卡通,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2124
東森衛視,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2176
東森財經,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=830
東森超視臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=831
東森電影,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=785
東森戲劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2128
東森新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=823
東森洋片,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=784
東森綜合臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3160
TVBS AISA,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=839
TVBS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=821
TVBS NEWS,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2107
TVBS NEWS 網絡獨家,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=845
TVBS歡樂臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2108
TVBS 精采臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3154
TVBS綜藝臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3163
TVBS臺劇臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3164
Arirang,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2101
BBC Earth,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=847
CI 罪案偵查頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=783
CNEX紀實頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=774
ELTV英語新聞臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=776
History 歷史頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=782
i-Fun動漫臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=767
JET TV,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2104
LOVE Nature,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=781
MTV LIVE,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=780
愛爾達體育1臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=812
愛爾達體育2臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=813
愛爾達體育3臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2110
愛爾達戲劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2111
愛爾達影劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2112
愛爾達娛樂臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=769
愛爾達綜合,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2113
八大第一臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2114
八大戲劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2115
八大綜藝,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2183
八大精彩,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2184
采昌影劇臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2181
DaVinCi Learning達文西頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2182
非凡新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2130
公視1臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2178
公視2臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2131
公視戲劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=773
華視,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3161
華視新聞資訊臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=766
華藝綜合臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2162
韓國娛樂臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2164
寰宇財經,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2134
寰宇全球新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=856
寰宇臺灣新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=838
靖天國際,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2136
靖天日本臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=771
鏡新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=855
龍華電影臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=775
龍華偶像,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2138
龍華日韓臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=772
龍華戲劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2139
龍華洋片,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2140
美食星球,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=877
民視,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=798
民視第一臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=799
民視高清臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2144
民視旅遊臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=796
民視臺灣臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=797
民視新聞臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=850
年代新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2148
年代電視臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2147
三立LIVE,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=849
三立都會,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2149
三立臺灣臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2150
三立戲劇,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2151
三立新聞臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=857
三立綜合,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2152
臺視臺灣臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2153
臺視新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=852
臺視綜合臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2155
天映經典,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=861
天映頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=864
緯來戲劇·,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2156
緯來電影,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2157
緯來精彩,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2158
緯來日本,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2159
緯來體育2,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2160
緯來綜合,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2161
幸福空間居家臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=768
亞洲旅遊臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2165
亞洲美食臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2166
十方法界,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2167
EYE旅遊臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2168
EYE戲劇臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2169
壹新聞,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=928
影迷數位電影臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=770
影迷數位紀實臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3151
豬哥亮歌廳秀,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3162
中視經典,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2170
中視高清,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2171
中視綜藝,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=816
中視新聞臺,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=851



港台体育,#genre#
18臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3131
NOW 668[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3123
Now 641[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3168
Now NBA[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3155
NOW精選[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=891
NOW SPORT PLUS[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3116
Now Sports 英超1臺1080P[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=822
Now Sports 英超1臺720P[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3117
NOW GOLF2[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3124
NOW GOLF3[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3125
now-bein-sports1[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3156
now-bein-sports2[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3157
now-bein-sports3[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3158
NOW SPORT 1[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3109
NOW SPORT 2[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3110
NOW SPORT 3[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3111
NOW SPORT 4[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3112
NOW SPORT 5[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3113
NOW SPORT 6[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3114
NOW SPORT 7[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3115
緯來體育[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2160
愛爾達體育1臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=812
愛爾達體育2臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=813
愛爾達體育3臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2110
愛爾達體育4臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=3144
博斯高球1臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2117
博斯高球二臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2118
博斯體育1臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2119
博斯體育2臺[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2120
博斯網球[體育],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2121

全球体育,#genre#
SKY SPORT MOTOGP,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2333
ESPN 1 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2301
ESPN 1 HD [BK],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2302
ESPN 2 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2303
ESPN 2 HD [BK],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2304
ESPN LONGHORN NETWORK HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2306
ESPN NEWS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2307
ESPN SEC NETWORK HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2308
ESPN U HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2309
ESPNU COLLEGE SPORTS [LIVE-EVENT],http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2310
NBA TV FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2313
NBA LIVE HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2314
NBA LIVE,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2315
NBA LIVE 01,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2316
NBA LIVE 02,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2317
NBA LIVE 03,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2318
NBA LIVE 04,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2319
NBA LIVE 05,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2320
NBA LIVE 06,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2321
NBA LIVE 07,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2322
NBA LIVE 08,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2323
NBA LIVE 09,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2324
NBA LIVE 10,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2325
NBA LIVE 11,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2326
NBA LIVE 12,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2327
NBA LIVE 13,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2328
NBA LIVE 14,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2329
NBA LIVE 15,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2330
英超|SKY SPORTS PREMIER LEAGUE HD 天空英超頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2557
英超|SKY SPORTS PREMIER LEAGUE FHD 天空英超頻道,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2570
天空足球頻道 HEVC,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2589
天空足球頻道 FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2572
西甲LALIGA-HD西班牙足球甲級聯賽,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2503
西甲LALIGA-FHD西班牙足球甲級聯賽,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2515
英超PREMIER SPORTS 1 英超蘇格蘭足球超級聯賽,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2504
英超PREMIER SPORTS 2 英超蘇格蘭足球超級聯賽,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2505
英超PREMIER SPORTS 1 FHD 英超蘇格蘭足球超級聯賽,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2516
英超PREMIER SPORTS 2 FHD 英超蘇格蘭足球超級聯賽,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2517
利物浦LFC TV HD 英國球會利物浦足球俱樂部,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2507
利物浦LFC TV FHD 英國球會利物浦足球俱樂部,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2522
英超曼徹斯特聯隊MUTV HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2509
英超曼徹斯特聯隊MUTV FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2521

全球新闻,#genre#
ABC NEWS LIVE HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2009
ACCUWEATHER NOW FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2018
AL JAZEERA HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2035
BBC AMERICA HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2014
BBC WORLD NEWS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2012
BLOOMBERG HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2013
CBC NEWS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2038
CBS NEWS HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2015
CGTN HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2022
CHEDDAR BUSINESS FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2026
CNA FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2032
CNBC HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2006
CNBC WORLD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2019
CNN FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2002
CNN HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2003
CNN INTERNATIONAL FHD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2004
C-SPAN 1 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2029
C-SPAN 2 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2030
C-SPAN 3 HD,http://m.xoxtvs.com/ott/?q=bba91cf35de72d1d703caabf0167b03d&id=2031
